"Set1_Freq[Hz]";"Set1_Level[dBuV]";"Set2_Freq[Hz]";"Set2_Level[dBuV]";"Raw1_Freq[Hz]";"Raw1_Level[dBuV]";"Raw2_Freq[Hz]";"Raw2_Level[dBuV]";"Set1_Peaks_Nb";"Set1_Peaks_Det";"Set1_Peaks_Freq[kHz]";"Set1_Peaks_Level[dBuV]";"Set1_Peaks_Lim[dBuV]";"Set1_Remeasure_Nb";"Set1_Remeasure_Det";"Set1_Remeasure_Freq[kHz]";"Set1_Remeasure_Level[dBuV]";"Set1_Remeasure_Lim[dBuV]";"Set2_Peaks_Nb";"Set2_Peaks_Det";"Set2_Peaks_Freq[kHz]";"Set2_Peaks_Level[dBuV]";"Set2_Peaks_Lim[dBuV]";"Set2_Remeasure_Nb";"Set2_Remeasure_Det";"Set2_Remeasure_Freq[kHz]";"Set2_Remeasure_Level[dBuV]";"Set2_Remeasure_Lim[dBuV]"
"497800";"45,35";"497800";"44,56";"497800";"35,97";"497800";"35,18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"500933";"45,36";"500933";"42,64";"500933";"35,98";"500933";"33,26";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"504067";"43,16";"504067";"34,30";"504067";"33,79";"504067";"24,92";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"507200";"36,50";"507200";"22,86";"507200";"27,12";"507200";"13,48";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"510333";"27,87";"510333";"18,28";"510333";"18,49";"510333";"8,90";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"513467";"24,61";"513467";"17,36";"513467";"15,24";"513467";"7,99";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"516600";"24,00";"516600";"16,80";"516600";"14,62";"516600";"7,42";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"519733";"23,89";"519733";"16,98";"519733";"14,51";"519733";"7,60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"522867";"23,67";"522867";"17,20";"522867";"14,30";"522867";"7,82";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"526000";"23,64";"526000";"17,78";"526000";"14,26";"526000";"8,40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"529133";"23,67";"529133";"16,08";"529133";"14,30";"529133";"6,71";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"532267";"23,71";"532267";"17,09";"532267";"14,33";"532267";"7,71";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"535400";"23,78";"535400";"18,06";"535400";"14,40";"535400";"8,69";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"538533";"24,44";"538533";"18,44";"538533";"15,06";"538533";"9,07";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"541667";"26,43";"541667";"18,55";"541667";"17,06";"541667";"9,18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"544800";"29,00";"544800";"23,36";"544800";"19,63";"544800";"13,99";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"547933";"29,52";"547933";"26,35";"547933";"20,14";"547933";"16,98";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"551067";"29,51";"551067";"24,52";"551067";"20,14";"551067";"15,15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"554200";"27,48";"554200";"19,73";"554200";"18,11";"554200";"10,36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"557333";"25,29";"557333";"17,25";"557333";"15,92";"557333";"7,88";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"560467";"25,17";"560467";"18,67";"560467";"15,80";"560467";"9,30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"563600";"25,26";"563600";"16,74";"563600";"15,89";"563600";"7,37";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"566733";"25,17";"566733";"17,72";"566733";"15,80";"566733";"8,35";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"569867";"25,01";"569867";"16,95";"569867";"15,64";"569867";"7,59";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"573000";"25,01";"573000";"18,25";"573000";"15,64";"573000";"8,88";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"576133";"24,98";"576133";"18,80";"576133";"15,61";"576133";"9,43";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"579267";"25,01";"579267";"18,30";"579267";"15,65";"579267";"8,94";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"582400";"25,17";"582400";"17,99";"582400";"15,80";"582400";"8,62";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"585533";"25,35";"585533";"17,46";"585533";"15,99";"585533";"8,09";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"588667";"26,40";"588667";"22,40";"588667";"17,04";"588667";"13,03";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"591800";"32,69";"591800";"33,04";"591800";"23,32";"591800";"23,67";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"594933";"41,05";"594933";"41,76";"594933";"31,68";"594933";"32,40";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"598067";"44,88";"598067";"44,39";"598067";"35,52";"598067";"35,03";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"601200";"44,90";"601200";"41,11";"601200";"35,54";"601200";"31,75";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"604333";"43,77";"604333";"31,90";"604333";"34,41";"604333";"22,54";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"607467";"38,21";"607467";"21,51";"607467";"28,85";"607467";"12,15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"610600";"26,48";"610600";"18,34";"610600";"17,12";"610600";"8,98";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"613733";"25,99";"613733";"17,20";"613733";"16,63";"613733";"7,84";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
